
日期 开盘价 最高价 收盘价 最低价 交易量(股) 交易金额(元) 
2016-06-30 65.100 66.180 65.100 64.520 1077212 70330733 
2016-06-29 65.750 66.800 65.130 65.000 1063771 69844122 
2016-06-28 65.700 67.250 66.350 65.110 2018207 134373750 
2016-06-27 64.400 67.950 65.700 64.400 2586046 172674181 
2016-06-24 63.020 65.790 64.830 62.800 3351158 218078018 
2016-06-23 61.530 63.400 63.400 61.000 1691558 105815522 
2016-06-22 60.710 61.840 61.530 60.680 637918 39206966 
2016-06-21 61.950 62.480 60.870 60.510 1339926 82209206 
2016-06-20 61.850 61.990 61.950 60.510 1168402 71327997 
2016-06-17 62.800 62.900 61.510 61.300 1261262 78501563 
2016-06-16 62.060 63.220 62.110 61.850 913872 56996571 
2016-06-15 61.150 62.400 62.060 60.500 1631694 101032284 
2016-06-14 60.000 61.890 61.800 60.000 1280236 78727933 
2016-06-13 62.530 62.990 59.920 59.600 2052090 125623981 
2016-06-08 64.060 64.300 63.510 62.580 1700902 108027227 
2016-06-07 64.090 65.270 63.620 63.410 1446140 92877975 
2016-06-06 63.610 65.390 64.550 63.610 2290937 148173873 
2016-06-03 62.790 63.950 63.760 62.550 2408927 152612417 
2016-06-02 63.360 63.600 62.780 62.120 2145386 134838058 
2016-06-01 64.800 64.810 63.510 63.210 3068534 195317317 
2016-05-31 62.130 65.880 65.200 62.050 2749637 174600418 
2016-05-30 59.610 62.800 62.610 59.030 1826702 112844083 
2016-05-27 62.390 62.500 60.660 59.600 2636650 159098916 
2016-05-26 63.790 64.380 62.390 60.610 1282717 78943642 
2016-05-25 63.610 64.580 63.790 63.550 1156786 74067354 
2016-05-24 65.300 65.350 63.900 63.550 1171195 74957800 
2016-05-23 65.100 66.390 65.000 64.780 1349851 88108312 
2016-05-20 64.640 65.390 65.090 64.600 685882 44549944 
2016-05-19 65.700 66.400 65.400 64.440 1071541 69871951 
2016-05-18 67.250 67.980 65.410 64.500 1229889 81233223 
2016-05-17 68.530 69.940 68.130 68.000 1174961 81022328 
2016-05-16 68.580 68.970 68.610 67.200 961090 65562695 
2016-05-13 68.620 69.090 68.580 67.700 1008159 69129792 
2016-05-12 68.000 69.800 68.620 67.650 2243284 154691361 
2016-05-11 65.750 69.980 69.410 65.600 3610758 246751913 
2016-05-10 66.430 67.160 65.000 64.950 915999 60320320 
2016-05-09 66.700 67.240 65.800 64.000 1471076 97147816 
2016-05-06 69.240 69.840 67.330 67.300 1357974 92698528 
2016-05-05 70.000 70.560 69.250 68.750 1388070 96172296 
2016-05-04 70.780 71.680 70.480 69.800 1650427 116317136 
2016-05-03 69.800 72.810 70.890 69.580 3052774 219067248 
2016-04-29 67.810 70.500 70.000 67.750 1769982 123849424 
2016-04-28 69.990 69.990 68.500 67.300 823074 56196928 
2016-04-27 68.680 70.500 69.400 68.310 1826208 127255792 
2016-04-26 66.000 68.400 68.280 66.000 1287391 86885624 
2016-04-25 66.850 67.800 66.910 64.440 2006257 132158904 
2016-04-22 66.200 67.890 67.100 66.000 1215991 81209976 
2016-04-21 66.600 67.900 66.890 66.020 1810777 121287784 
2016-04-20 70.500 70.950 67.000 64.000 3742759 248924448 
2016-04-19 69.000 70.980 70.320 68.580 1851218 129751464 
2016-04-18 69.800 70.150 69.230 68.010 2459202 169623120 
2016-04-15 68.020 68.890 68.760 67.770 1494118 102075576 
2016-04-14 67.650 69.500 68.480 66.680 3811649 259175440 
2016-04-13 68.640 70.600 67.750 67.500 3720076 256218656 
2016-04-12 70.380 72.280 68.890 68.550 2384883 166192624 
2016-04-11 69.680 73.450 71.070 69.680 5512629 393536512 
2016-04-08 65.510 69.480 69.270 65.350 2965572 201464288 
2016-04-07 65.200 71.080 66.250 65.200 4411220 299020480 
2016-04-06 63.300 66.750 65.230 62.760 2707067 176543760 
2016-04-05 61.900 63.850 63.490 61.480 2371757 149713008 
2016-04-01 63.770 63.770 61.890 61.310 1860989 115491760 
